Distance_(inches),647,FAM,550
0.510000,3568.3823,9.4418,552.3395
0.513333,2568.1345,9.4289,592.7126
0.516667,1913.8033,8.8314,634.8152
0.520000,1298.0966,10.5226,685.5034
0.523333,1135.7273,10.4396,727.1344
0.526667,796.0861,11.1726,766.1913
0.530000,327.8145,10.0573,808.3301
0.533333,129.2118,11.2109,845.8153
0.536667,128.6496,10.1988,883.1409
0.540000,132.7561,11.8780,925.2914
0.543333,140.1201,14.1243,970.6476
0.546667,144.5462,12.9984,1023.9794
